TransactionID,UserID,TransactionDate,TransactionTime,TransactionAmount,TransactionType,MerchantID,Currency,TransactionStatus,DeviceType,DeviceID,IP_Address,PaymentMethod,Location,LocationCoordinates,Age,Gender,AccountCreationDate,AccountStatus,UserProfileCompleteness,PreviousFraudAttempts,SuspiciousFlag,IsFraud,ReviewStatus,AnomalyScore,year
9014119b-87be-4fc6-8766-8a4ad7b70f09,U000976,2026-08-03 21:24:09,21:24:09,469059.65,online_payment,M00234,USD,success,atm,D000562,44.57.108.135,debit_card,Da Nang,"10.924451,105.269076",35,M,2024-12-02,active,0.71,0,0,0,auto_approved,0.1857,2026
5d5519c5-b6cd-4ff4-850f-798ca6684696,U001534,2026-07-17 05:55:05,05:55:05,220344.64,cash_withdrawal,M00177,USD,success,desktop,D002520,133.202.122.51,mobile_wallet,Da Nang,"8.247624,105.286601",58,M,2023-11-11,active,0.85,1,0,0,auto_approved,0.5652,2026
ef8bf3ab-79bc-4bdf-a9b4-47227f45fc86,U000494,2026-10-20 14:52:41,14:52:41,1577476.95,purchase,M00372,VND,success,atm,D002934,84.170.236.226,mobile_wallet,Singapore,"10.981872,102.195359",63,M,2019-01-26,active,0.6,0,0,0,auto_approved,0.0127,2026
265d774d-1a7f-415a-91aa-157947995936,U000736,2026-03-10 18:37:04,18:37:04,89210.91,bill_payment,M00079,USD,success,atm,D002862,216.57.234.129,credit_card,Kuala Lumpur,"13.726682,108.77394",24,F,2023-01-22,active,0.84,0,0,0,auto_approved,0.3115,2026
9f44f3ca-5e30-49cd-b0fd-24d2b8874319,U001731,2026-11-17 06:19:16,06:19:16,778882.45,online_payment,M00445,USD,success,desktop,D001594,151.98.41.134,debit_card,Da Nang,"16.421822,106.474581",62,F,2018-11-16,active,0.47,0,0,0,auto_approved,0.1062,2026
a3cd8d89-0b9b-435a-8444-21b572e4d768,U001663,2026-06-08 12:35:55,12:35:55,777155.36,transfer,M00200,USD,success,mobile,D002325,194.77.85.173,bank_transfer,Da Nang,"20.644386,106.748002",69,M,2022-07-08,active,0.9,0,0,0,auto_approved,0.1604,2026
fec58e21-049b-42dc-b3d1-ff5a76ac633d,U000561,2026-02-07 23:41:59,23:41:59,1528514.24,purchase,M00337,USD,success,atm,D002933,214.148.217.5,mobile_wallet,Singapore,"15.649428,108.051685",41,F,2024-05-21,active,0.69,0,0,0,auto_approved,0.3914,2026
8835de7d-bab2-4ada-9dab-9a2b694a431d,U000191,2026-12-15 17:32:51,17:32:51,234957.83,bill_payment,M00288,USD,success,atm,D001283,171.89.41.87,debit_card,Bangkok,"21.406367,102.894039",53,M,2022-08-01,active,0.83,0,0,0,auto_approved,0.1892,2026
cc732097-44f1-46da-9344-f6a6dc5f4d7d,U001739,2026-03-11 15:49:27,15:49:27,298576.32,purchase,M00163,VND,success,desktop,D000844,7.44.250.1,credit_card,Da Nang,"21.492893,103.758792",50,F,2020-05-26,active,0.5,0,0,0,auto_approved,0.0255,2026
2dc24c5f-1d87-4108-b4a5-81c19bd41ace,U001519,2026-11-17 07:52:23,07:52:23,1402532.97,purchase,M00369,VND,success,atm,D001170,111.44.141.230,debit_card,Singapore,"12.478549,107.139789",22,F,2020-12-25,under_review,0.99,0,0,0,auto_approved,0.0888,2026
62463183-d3b3-4b8c-8f6e-9401fb9eb793,U001445,2026-06-14 06:38:18,06:38:18,1212174.77,transfer,M00384,USD,success,mobile,D000934,162.116.134.238,mobile_wallet,Ho Chi Minh City,"18.036193,107.31653",56,M,2021-04-04,active,0.88,0,0,0,auto_approved,0.304,2026
c268d1c5-8d57-44d9-839c-9e54ea982fde,U000353,2026-06-25 18:05:11,18:05:11,215026.86,online_payment,M00030,VND,success,pos,D001177,155.5.76.244,bank_transfer,Singapore,"10.194119,107.187383",29,M,2026-04-22,active,0.78,0,1,0,auto_approved,0.6001,2026
d60e9026-b42b-42a1-b625-1df206bfbed4,U000456,2026-03-28 14:04:31,14:04:31,111971.28,bill_payment,M00452,USD,failed,pos,D001131,231.98.122.78,mobile_wallet,Ho Chi Minh City,"17.221155,104.209249",63,F,2019-07-10,active,0.57,0,0,0,auto_approved,0.0553,2026
46c70d3e-703a-47e0-8c1b-af2b4449cfaf,U001456,2026-02-27 18:39:06,18:39:06,371689.86,cash_withdrawal,M00406,VND,success,mobile,D001120,137.126.169.97,mobile_wallet,Kuala Lumpur,"11.90665,108.126409",50,F,2018-09-13,active,0.45,0,0,0,auto_approved,0.0784,2026
dab7b3b0-ccf6-4105-b1c8-4c7c23996b16,U001097,2026-01-01 14:53:07,14:53:07,540002.14,online_payment,M00370,VND,success,pos,D001563,201.19.21.43,bank_transfer,Ho Chi Minh City,"20.982213,104.107957",58,F,2017-10-27,active,0.56,0,0,0,auto_approved,0.058,2026
edaa239e-8d71-4f3c-86f9-4adcb3059330,U000494,2026-05-04 20:48:01,20:48:01,278619.81,purchase,M00334,VND,success,desktop,D000074,70.23.143.198,credit_card,Da Nang,"16.728694,107.97511",26,M,2025-04-14,active,0.49,0,0,0,auto_approved,0.2238,2026
ff781b0b-f437-4c2b-b7a1-6523bc4002a6,U000856,2026-06-06 13:43:19,13:43:19,122469.81,online_payment,M00453,VND,success,desktop,D002793,148.8.205.210,bank_transfer,Da Nang,"20.182971,108.768318",64,F,2024-01-06,active,0.96,0,0,0,auto_approved,0.1536,2026
df55bbae-f736-4314-9a1b-f5af7439f8aa,U001593,2026-01-09 17:15:18,17:15:18,1764811.05,purchase,M00427,VND,success,atm,D000911,170.28.212.185,credit_card,Singapore,"12.237717,105.334399",37,F,2021-04-23,active,0.99,0,0,0,auto_approved,0.2984,2026
ee240ca0-f2f6-4788-8a0c-06466396aee9,U001518,2026-11-20 09:10:56,09:10:56,27362.73,cash_withdrawal,M00130,VND,success,desktop,D001886,104.55.172.124,credit_card,Bangkok,"11.613447,104.186953",68,F,2020-03-21,active,0.94,0,0,0,auto_approved,0.0636,2026
e186e049-5659-4d44-9bd6-bbb906d1a49c,U000510,2026-07-07 07:39:38,07:39:38,400953.37,cash_withdrawal,M00431,VND,success,atm,D001250,169.33.49.8,debit_card,Da Nang,"10.701305,108.76509",54,F,2019-11-11,active,0.6,0,0,0,auto_approved,0.2682,2026
